rae: display,video,display
darryl: mobile,display,display,display,search,display,display
hugh: display,video,video,email,display,display,display,video,video,mobile,video,mobile
ruth: mobile,mobile,social,display
delbert: email,display,mobile,video,display,display,display,display,search,display,display,video
tabatha: mobile,video,display,video,display
valarie: display,display,video
alta: mobile,video,display
paul: mobile,display,mobile,mobile,video,display
alejandra: display,mobile,display
russel: display,video,display,display,display,video,mobile
robbie: display,display,display,mobile
gerry: display,display,display,display,video,display,display
augustine: social,display,display
quincy: display,video,display,display,display,search
amanda: video,display,video,display,display
jodie: search,video,display,display,display
robyn: video,mobile,display,display,video,mobile,display,search,display
alberta: display,display,display,display,display
kay: mobile,search,mobile,search,video
earline: video,display,video,display,mobile,display,video,video,video,video,display,display,display
hannah: video,display
ursula: search,display,email,video,video,display,display
iola: display
albert: display
rodrigo: display,display,display,display,display,video
aida: display,search
winona: social,video,video,display,display,video,video,mobile,video
dwight: display,video,mobile
floyd: video,affiliate,display,social,display,display,display,video,video
herbert: display,search,search,display
darrel: mobile,email
roberto: video,video,video
judy: display,display,display,search,display,display,video
althea: video,display,display,mobile,display,video,display
marjorie: mobile,display,display,display,display,search
riley: display,display,mobile,video,display
drew: video,search
ollie: video,display,display,display,display,display,search,display,social,display,display,video,display,mobile
margot: display
wilmer: video,display,video
darcy: video,display,video,display,video,display,search,display,search,display,display
cody: display,display
branden: video,display,display
jared: display
pearline: display,social,display,display
edward: video,mobile
aurelia: video,video,mobile,display,video,display,display,mobile,video,display,display,display,display
emily: display,display,display
stefanie: display,video
sonny: display,display,video,video,video,display,display,display,search
travis: display,display,video,video,display,video,video,display
mitzi: social,display,search
colin: social,display,video,display,search,display
faith: display,display,social,display,display,display,display,video
cyrus: video,video,display
janet: search,search
alana: display,display
bart: display
cynthia: display,display,mobile,display,video,display
lillie: display,display,display,display,display,search,display,video,display,display,search,display,mobile,display,video,display
daryl: display,search,display,display,display,display,display
tracey: video,video,display,display,display
stephen: search,display,video,mobile,display,display,video,video,video,social,display,mobile
ward: affiliate,video,video,search,mobile,mobile,mobile,display
casandra: display,display
holly: display,display
sol: mobile,display,display
chandra: email
mariano: video,video,display,video
valencia: display,video,email,affiliate,video,display
